tick,t,ax,ay,az,ayaw,sp_n,sp_e,sp_d,v_n,v_e,v_d,yaw_cmd,p_n,p_e,p_d,vel_n,vel_e,vel_d,roll,pitch,yaw
10,1.0011,-0.007153511047363281,1.4111076751532892e-08,-0.11530333757400513,0.0,-7.916609197373719,1.5140150642413952,-2.1279188334941863,-0.0062895577632642,0.012850383043409777,-0.23060667514801025,-1.1156262159347534,-8.179951667785645,1.430302381515503,-1.7359278202056885,0.2151724398136139,-0.07819120585918427,-0.19898143410682678,-0.007590831723064184,0.0390268974006176,-1.1156262159347534
11,1.101,-0.005673825740814209,2.7224745124954097e-08,-0.10715973377227783,0.0,-7.9171245567829756,1.5150260521843528,-2.149350780248642,-0.005153594092565003,0.010109879429575187,-0.21431946754455566,-1.0993678569793701,-8.179951667785645,1.430302381515503,-1.7359278202056885,0.2151724398136139,-0.07819120585918427,-0.19898143410682678,-0.01134368684142828,0.03477492928504944,-1.0993678569793701
12,1.2021,-0.004037618637084961,4.43552039541828e-08,-0.10052096843719482,0.0,-7.91749129337214,1.5157454956113074,-2.1694549739360807,-0.0036673658916427463,0.007194434269546718,-0.20104193687438965,-1.0993678569793701,-8.179951667785645,1.430302381515503,-1.7359278202056885,0.2151724398136139,-0.07819120585918427,-0.19898143410682678,-0.01134368684142828,0.03477492928504944,-1.0993678569793701
13,1.3011,-0.0028427839279174805,5.993873486431767e-08,-0.09397745132446289,0.0,-7.9177763682537,1.5162374195185129,-2.1882504642009732,-0.002850748815600616,0.0049192390720543405,-0.18795490264892578,-1.0455580949783325,-8.106939315795898,1.4139676094055176,-1.8354544639587402,0.15259209275245667,-0.09853644669055939,-0.4376297891139984,-0.012858693487942219,0.03900616243481636,-1.0455580949783325
14,1.4011,-0.002204298973083496,6.629462490082005e-08,-0.08796393871307373,0.0,-7.917997412320277,1.5166188600503345,-2.205843251943588,-0.002210440665770427,0.003814405318216212,-0.17592787742614746,-1.0455580949783325,-8.106939315795898,1.4139676094055176,-1.8354544639587402,0.15259209275245667,-0.09853644669055939,-0.4376297891139984,-0.012858693487942219,0.03900616243481636,-1.0455580949783325
15,1.502,-0.001991569995880127,6.460022916598973e-08,-0.08339369297027588,0.0,-7.918219022524207,1.5169498327978845,-2.222521990537643,-0.0022161020392945296,0.003309727475501157,-0.16678738594055176,-0.9807523488998413,-8.079109191894531,1.3931642770767212,-1.9421031475067139,0.05871981754899025,-0.14240454137325287,-0.583150327205658,-0.0408809669315815,0.06163429468870163,-0.9807523488998413
16,1.6007,-0.002003788948059082,5.5096471385240875e-08,-0.08047771453857422,0.0,-7.9184419940265505,1.5172828350729497,-2.2386175334453577,-0.0022297150234354747,0.0033300227506525408,-0.16095542907714844,-0.9807523488998413,-8.079109191894531,1.3931642770767212,-1.9421031475067139,0.05871981754899025,-0.14240454137325287,-0.583150327205658,-0.0408809669315815,0.06163429468870163,-0.9807523488998413
17,1.7006,-0.0020827054977416992,3.831507555673852e-08,-0.07857733964920044,0.0,-7.918673750112903,1.5176289500886744,-2.2543330013751977,-0.002317560863528977,0.0034611501572461424,-0.15715467929840088,-0.9807523488998413,-8.079109191894531,1.3931642770767212,-1.9421031475067139,0.05871981754899025,-0.14240454137325287,-0.583150327205658,-0.0408809669315815,0.06163429468870163,-0.9807523488998413
18,1.8023,-0.002150416374206543,1.9777196769155125e-08,-0.07741230726242065,0.0,-7.918936263400891,1.5179696235348719,-2.269815462827682,-0.0026251328798702588,0.0034067344619754403,-0.1548246145248413,-0.9142496585845947,-8.076199531555176,1.375177025794983,-2.0035183429718018,0.003064155811443925,-0.16896727681159973,-0.6253088116645813,-0.01150615606456995,0.047051139175891876,-0.9142496585845947
19,1.901,-0.002164602279663086,3.0472673273607143e-09,-0.0768972635269165,0.0,-7.919213145978992,1.518302424014303,-2.285194915533065,-0.002768825781006812,0.0033280047943114017,-0.153794527053833,-0.8768572211265563,-8.083139419555664,1.3298146724700928,-2.1360080242156982,-0.039569538086652756,-0.22501294314861298,-0.6596224904060364,0.04796004667878151,0.02798718586564064,-0.8768572211265564
20,2.002,-0.0021275877952575684,-1.2801431914510886e-08,-0.0768204927444458,0.0,-7.919485296321125,1.5186295316179204,-2.300559014081954,-0.002721503421335871,0.0032710760361734943,-0.1536409854888916,-0.8768572211265563,-8.083139419555664,1.3298146724700928,-2.1360080242156982,-0.039569538086652756,-0.22501294314861298,-0.6596224904060364,0.04796004667878151,0.02798718586564064,-0.8768572211265564
21,2.1011,-0.0020600557327270508,-2.6409498588009228e-08,-0.07683825492858887,0.0,-7.919761718969223,1.5189350536376245,-2.3159266650676718,-0.002764226480980051,0.003055220197040605,-0.15367650985717773,-0.835373044013977,-8.08279037475586,1.283565878868103,-2.2650482654571533,0.04208951070904732,-0.18897217512130737,-0.6267266869544983,0.1243056207895279,0.033158108592033386,-0.835373044013977
22,2.202,-0.001977384090423584,-3.688959893111132e-08,-0.0767594575881958,0.0,-7.920030386337388,1.519225260045169,-2.331278556585311,-0.0026866736816534096,0.002902064075446216,-0.1535189151763916,-0.8239378333091736,-8.08279037475586,1.283565878868103,-2.2650482654571533,0.04208951070904732,-0.18897217512130737,-0.6267266869544983,0.1306745857000351,0.04509437084197998,-0.8239378333091736
23,2.3012,-0.001893460750579834,-4.726247482267354e-08,-0.07619309425354004,0.0,-7.920287652785391,1.5195031480070906,-2.346517175436019,-0.0025726644800264783,0.00277887961921535,-0.15238618850708008,-0.8239378333091736,-8.07471752166748,1.2656220197677612,-2.3226382732391357,0.08258821815252304,-0.15124091506004333,-0.5433463454246521,0.1306745857000351,0.04509437084197998,-0.8239378333091736
24,2.4022,-0.0018132925033569336,-5.576695372155882e-08,-0.07512229681015015,0.0,-7.920540967566857,1.5197626722058168,-2.361541634798049,-0.0025331478146599705,0.002595241987261506,-0.1502445936203003,-0.7975362539291382,-8.04755973815918,1.246463418006897,-2.410170555114746,0.11345406621694565,-0.04248471558094025,-0.33136528730392456,0.09624558687210083,0.09288960695266724,-0.7975362539291382
25,2.5027,-0.0017281174659729004,-6.318043688224861e-08,-0.07382547855377197,0.0,-7.920783373638093,1.5200090355469118,-2.3763067305088037,-0.002424060712363041,0.002463633410949658,-0.14765095710754395,-0.7935309410095215,-8.021355628967285,1.251674771308899,-2.453031063079834,0.09335572272539139,0.04607197269797325,-0.1360926479101181,0.06226703152060509,0.10722710937261581,-0.7935309410095215
26,2.6021,-0.0016292929649353027,-7.162689996675908e-08,-0.07262009382247925,0.0,-7.921011919142336,1.5202413086088864,-2.3908307492732996,-0.0022854550424291947,0.0023227306197463574,-0.1452401876449585,-0.7935309410095215,-8.021355628967285,1.251674771308899,-2.453031063079834,0.09335572272539139,0.04607197269797325,-0.1360926479101181,0.06226703152060509,0.10722710937261581,-0.7935309410095215
27,2.7019,-0.0015139579772949219,-7.596454310032641e-08,-0.07170867919921875,0.0,-7.921246660764624,1.5204325652983812,-2.4051724851131433,-0.002347416222890559,0.0019125668949483555,-0.1434173583984375,-0.683722972869873,-8.006084442138672,1.2726950645446777,-2.4587035179138184,0.049489282071590424,0.1173982098698616,0.03598029538989067,0.05504991114139557,0.06064501404762268,-0.683722972869873
28,2.8014,-0.001382291316986084,-7.661614631615521e-08,-0.07134890556335449,0.0,-7.9214644546342114,1.520602844486791,-2.4194422662258144,-0.0021779386958749834,0.0017027918840982887,-0.14269781112670898,-0.6636224985122681,-8.000895500183105,1.2879374027252197,-2.4529385566711426,0.03707841783761978,0.11254052817821503,0.0701562911272049,0.05301013961434364,0.046061597764492035,-0.6636224985122681
29,2.9027,-0.0012454390525817871,-7.452435113464162e-08,-0.07098281383514404,0.0,-7.921662956945364,1.5207533156469415,-2.433638828992843,-0.001985023111526218,0.0015047116015056055,-0.14196562767028809,-0.6486818194389343,-7.9963788986206055,1.3044770956039429,-2.4435062408447266,0.04207316040992737,0.09700773656368256,0.09165541082620621,0.05043071508407593,0.034154750406742096,-0.6486818194389343
30,3.0015,-0.0011247992515563965,-6.200272650858096e-08,-0.0701061487197876,0.0,-7.921844774533077,1.5208857894149268,-2.4476600587368007,-0.0018181758771260836,0.0013247376798526823,-0.1402122974395752,-0.6297242641448975,-7.99144983291626,1.3200370073318481,-2.4337921142578125,0.06401187926530838,0.11010976880788803,0.08005956560373306,0.048782311379909515,0.016627617180347443,-0.6297242641448975
31,3.1008,-0.0010246038436889648,-3.6915711376650506e-08,-0.06867337226867676,0.0,-7.922010393782078,1.521006465783263,-2.461394733190536,-0.0016561924900140778,0.0012067636833617632,-0.13734674453735352,-0.6297242641448975,-7.99144983291626,1.3200370073318481,-2.4337921142578125,0.06401187926530838,0.11010976880788803,0.08005956560373306,0.048782311379909515,0.016627617180347443,-0.6297242641448975
32,3.2031,-0.0009357929229736328,-4.979806789151553e-09,-0.06696653366088867,0.0,-7.9221633877201825,1.5211142674098366,-2.474788039922714,-0.0015299393810402613,0.0010780162657360406,-0.13393306732177734,-0.6138210296630859,-7.986207485198975,1.3345845937728882,-2.4260008335113525,0.0762869268655777,0.09369407594203949,0.05787208303809166,0.05233845114707947,0.007405606564134359,-0.6138210296630859
33,3.301,-0.0008491277694702148,3.119607328017082e-08,-0.06529152393341064,0.0,-7.922302208551249,1.5212120912088645,-2.487846344709396,-0.0013882083106684841,0.0009782379902792484,-0.1305830478668213,-0.6138210296630859,-7.986207485198975,1.3345845937728882,-2.4260008335113525,0.0762869268655777,0.09369407594203949,0.05787208303809166,0.05233845114707947,0.007405606564134359,-0.6138210296630859
34,3.402,-0.0007566213607788086,6.330058965886565e-08,-0.06384634971618652,0.0,-7.922428285672135,1.5212957786935493,-2.500615614652633,-0.0012607712088585218,0.0008368748468489086,-0.12769269943237305,-0.5859178900718689,-7.971807479858398,1.3578778505325317,-2.4223616123199463,0.1178714781999588,0.0575699582695961,-0.0046840873546898365,0.054911140352487564,0.0035623861476778984,-0.5859178900718689
35,3.5019,-0.0006628036499023438,8.229943659898709e-08,-0.062323689460754395,0.0,-7.922539953584317,1.5213672113526961,-2.513080352544784,-0.0011166791218199202,0.0007143265914690252,-0.12464737892150879,-0.568967878818512,-7.947515964508057,1.3677423000335693,-2.435364246368408,0.16924837231636047,-0.0044486927799880505,-0.09964124858379364,0.043705008924007416,0.008090618997812271,-0.568967878818512
36,3.603,-0.0005772113800048828,9.15278590696289e-08,-0.06057298183441162,0.0,-7.922637690801555,1.5214286471386012,-2.5251949489116665,-0.000977372172389386,0.0006143578590502552,-0.12114596366882324,-0.5610119104385376,-7.947515964508057,1.3677423000335693,-2.435364246368408,0.16924837231636047,-0.0044486927799880505,-0.09964124858379364,0.02475757524371147,0.02344515174627304,-0.5610119104385376
37,3.7014,-0.0005035400390625,9.227969854919138e-08,-0.05834317207336426,0.0,-7.922723099279916,1.5214820090632497,-2.5368635833263395,-0.000854084783612143,0.0005336192464863183,-0.11668634414672852,-0.5582613348960876,-7.9181013107299805,1.3614368438720703,-2.469691276550293,0.18050745129585266,-0.10098350793123245,-0.14713144302368164,0.03000243753194809,0.03927186504006386,-0.5582613348960876
38,3.801,-0.0004423856735229492,8.799393924618926e-08,-0.05582726001739502,0.0,-7.922798020199943,1.5215290734809928,-2.5480290353298187,-0.0007492092002740974,0.00047064417743109774,-0.11165452003479004,-0.5606895685195923,-7.90552282333374,1.3548109531402588,-2.491227388381958,0.16143400967121124,-0.1242436021566391,-0.16063176095485687,0.03990489989519119,0.051369696855545044,-0.5606895685195923
39,3.9015,-0.0003838539123535156,7.997894613254175e-08,-0.05336904525756836,0.0,-7.922863027995906,1.5215699114505943,-2.558702844381332,-0.000650077959620879,0.00040837969601595527,-0.10673809051513672,-0.5606895685195923,-7.90552282333374,1.3548109531402588,-2.491227388381958,0.16143400967121124,-0.1242436021566391,-0.16063176095485687,0.03990489989519119,0.051369696855545044,-0.5606895685195923
40,4.0008,-0.0003186464309692383,6.755418979764727e-08,-0.051476478576660156,0.0,-7.922916992418502,1.5216038122351743,-2.568998140096664,-0.000539644225965134,0.00033900784580080125,-0.10295295715332031,-0.5606895685195923,-7.90552282333374,1.3548109531402588,-2.491227388381958,0.16143400967121124,-0.1242436021566391,-0.16063176095485687,0.03990489989519119,0.051369696855545044,-0.5606895685195923
41,4.1024,-0.0002446174621582031,4.784029172810733e-08,-0.05022156238555908,0.0,-7.922958121849607,1.5216303052172675,-2.579042452573776,-0.0004112943110547587,0.00026492982093310146,-0.10044312477111816,-0.5720468759536743,-7.881839275360107,1.3429254293441772,-2.5347843170166016,0.13517498970031738,-0.09842196851968765,-0.14267033338546753,0.11129182577133179,0.08818908035755157,-0.5720468759536743
42,4.2017,-0.00016582012176513672,2.3475637433989505e-08,-0.049864888191223145,0.0,-7.9229859691898135,1.5216483157191143,-2.5890154302120205,-0.0002784734020619348,0.00018010501846781862,-0.09972977638244629,-0.5739514827728271,-7.868967056274414,1.343542456626892,-2.552536725997925,0.14095506072044373,-0.02325163409113884,-0.139711394906044,0.1277342438697815,0.09336736053228378,-0.5739514827728271
43,4.3016,-8.809566497802734e-05,2.424228595643285e-09,-0.05013585090637207,0.0,-7.923000601965592,1.5216581297764185,-2.599042600393295,-0.00014632775778511149,9.814057304077968e-05,-0.10027170181274414,-0.5907553434371948,-7.841076374053955,1.3660197257995605,-2.5829672813415527,0.1601012647151947,0.12619535624980927,-0.10158631950616837,0.1485295593738556,0.08934133499860764,-0.5907553434371948
44,4.4025,-2.3484230041503906e-05,-9.297314029765857e-09,-0.050916075706481934,0.0,-7.923004478336585,1.521660781966798,-2.6092258155345913,-3.8763709928929284e-05,2.6521903794319142e-05,-0.10183215141296387,-0.6004349589347839,-7.841076374053955,1.3660197257995605,-2.5829672813415527,0.1601012647151947,0.12619535624980927,-0.10158631950616837,0.14355608820915222,0.07911145687103271,-0.6004349589347839
45,4.502,2.4199485778808594e-05,-1.1719866854775773e-08,-0.05193305015563965,0.0,-7.923000534395478,1.521657976625729,-2.619612425565719,3.943941107449382e-05,-2.8053410690203922e-05,-0.1038661003112793,-0.6177880167961121,-7.812929630279541,1.4163962602615356,-2.6098625659942627,0.22328630089759827,0.25896191596984863,-0.08741480112075806,0.12067661434412003,0.06228828430175781,-0.6177880167961121
46,4.602,5.2809715270996094e-05,-9.734780981318636e-09,-0.052982449531555176,0.0,-7.922991969393334,1.5216517963843792,-2.6302089154720303,8.565002144172906e-05,-6.180241349745096e-05,-0.10596489906311035,-0.6248713731765748,-7.812929630279541,1.4163962602615356,-2.6098625659942627,0.22328630089759827,0.25896191596984863,-0.08741480112075806,0.10003619641065598,0.05867718160152435,-0.6248713731765747
47,4.7026,6.258487701416016e-05,-9.081766449980933e-09,-0.053833842277526855,0.0,-7.922981926685181,1.5216443251937453,-2.6409756839275356,0.00010042708152900446,-7.471190634022684e-05,-0.10766768455505371,-0.6394674777984619,-7.7801103591918945,1.479625940322876,-2.633603811264038,0.1998763233423233,0.25355783104896545,-0.07645636796951294,0.0476931594312191,0.06088925898075104,-0.6394674777984619
48,4.8013,6.020069122314453e-05,-1.7117351092110766e-08,-0.05454885959625244,0.0,-7.922972267556756,1.521637137274802,-2.651885455846786,9.659128425355618e-05,-7.18791894308854e-05,-0.10909771919250488,-0.6394674777984619,-7.7801103591918945,1.479625940322876,-2.633603811264038,0.1998763233423233,0.25355783104896545,-0.07645636796951294,0.0476931594312191,0.06088925898075104,-0.6394674777984619
49,4.9024,5.4836273193359375e-05,-3.2769065683169174e-08,-0.05522298812866211,0.0,-7.922963514860012,1.5216305288697776,-2.6629300534725187,8.75269674413873e-05,-6.608405024442712e-05,-0.11044597625732422,-0.6461045145988464,-7.768219470977783,1.5105494260787964,-2.645258903503418,0.17216335237026215,0.24043837189674377,-0.07330507040023804,0.02234027162194252,0.06572771072387695,-0.6461045145988464
50,5.0014,5.0067901611328125e-05,-4.907306561108271e-08,-0.05566680431365967,0.0,-7.9229556317034335,1.5216243541042302,-2.6740634143352504,7.883156578030045e-05,-6.174765547238026e-05,-0.11133360862731934,-0.6634858846664428,-7.762784957885742,1.5611099004745483,-2.66348934173584,0.03355526551604271,0.16949494183063507,-0.08208715915679932,-0.018561895936727524,0.10603991895914078,-0.6634858846664429
51,5.1015,4.315376281738281e-05,-5.9558207254895024e-08,-0.05572366714477539,0.0,-7.922948839299447,1.5216190293244436,-2.6852081477642056,6.792403986934449e-05,-5.324779786755158e-05,-0.11144733428955078,-0.6634858846664428,-7.762784957885742,1.5611099004745483,-2.66348934173584,0.03355526551604271,0.16949494183063507,-0.08208715915679932,-0.018561895936727524,0.10603991895914078,-0.6634858846664429
52,5.4323,3.528594970703125e-05,-5.912621503512128e-08,-0.05537593364715576,0.0,-7.9229432091773395,1.5216147742339912,-2.6962833344936366,5.6301221076010195e-05,-4.255090452500389e-05,-0.11075186729431152,-0.6455095410346985,-7.834640026092529,1.6072046756744385,-2.6852469444274902,-0.21484173834323883,0.06267447024583817,-0.07132956385612488,0.06214079260826111,0.04647034406661987,-0.6455095410346985
53,5.4326,2.9325485229492188e-05,-5.2035836972663674e-08,-0.05469083786010742,0.0,-7.922938530437961,1.5216112374459716,-2.707221502065658,4.678739378514675e-05,-3.536788019499595e-05,-0.10938167572021484,-0.6455095410346985,-7.834640026092529,1.6072046756744385,-2.6852469444274902,-0.21484173834323883,0.06267447024583817,-0.07132956385612488,0.06214079260826111,0.04647034406661987,-0.6455095410346985
54,5.4328,2.5272369384765625e-05,-3.8672698821073936e-08,-0.053575873374938965,0.0,-7.922934497611094,1.5216081904682142,-2.7179366767406457,4.0328268672571086e-05,-3.0469777574895645e-05,-0.10715174674987793,-0.6455095410346985,-7.834640026092529,1.6072046756744385,-2.6852469444274902,-0.21484173834323883,0.06267447024583817,-0.07132956385612488,0.06214079260826111,0.04647034406661987,-0.6455095410346985
55,5.5006,2.372264862060547e-05,-1.6545866898809436e-08,-0.052167534828186035,0.0,-7.922930641893873,1.5216054256864933,-2.728370183706283,3.855717221143133e-05,-2.764781720909865e-05,-0.10433506965637207,-0.6213868260383606,-7.860438823699951,1.6139134168624878,-2.6941072940826416,-0.21979953348636627,0.04395367205142975,-0.09634774178266525,0.06841297447681427,-0.00024989712983369827,-0.6213868260383606
56,5.6004,3.039836883544922e-05,2.698506085252461e-09,-0.05081677436828613,0.0,-7.922925698367902,1.5216018867623096,-2.73853353857994,4.9435259712291905e-05,-3.5389241836044344e-05,-0.10163354873657227,-0.6213868260383606,-7.860438823699951,1.6139134168624878,-2.6941072940826416,-0.21979953348636627,0.04395367205142975,-0.09634774178266525,0.06841297447681427,-0.00024989712983369827,-0.6213868260383606
57,5.7021,4.9591064453125e-05,1.2741429245011204e-08,-0.04981982707977295,0.0,-7.922917632664387,1.5215961148146107,-2.7484975039958948,8.065703515482748e-05,-5.771947698814494e-05,-0.0996396541595459,-0.6213868260383606,-7.860438823699951,1.6139134168624878,-2.6941072940826416,-0.21979953348636627,0.04395367205142975,-0.09634774178266525,0.06841297447681427,-0.00024989712983369827,-0.6213868260383606
58,5.8011,7.855892181396484e-05,2.2033107782704064e-08,-0.049146294593811035,0.0,-7.9229045091342085,1.5215874757670393,-2.758326762914657,0.00013123530178370352,-8.639047571267439e-05,-0.09829258918762207,-0.5824592113494873,-7.9029645919799805,1.6165809631347656,-2.721701145172119,-0.14680038392543793,-0.03628133237361908,-0.151386097073555,0.05741223320364952,-0.022065939381718636,-0.5824592113494873
59,5.9019,0.0001081228256225586,2.6576135070399687e-08,-0.048612117767333984,0.0,-7.922885855224379,1.521576537143124,-2.768049186468124,0.00018653909829138225,-0.00010938623915386572,-0.09722423553466797,-0.5306041240692139,-7.921708106994629,1.6080907583236694,-2.739072561264038,-0.11049989610910416,-0.09616133570671082,-0.14431340992450714,0.03307303413748741,-4.000496119260788e-05,-0.5306041240692139
