t,vx,vz,yaw_rate,lat,lon,rel_alt,p_n,p_e,p_d,yaw
0.002,0.0,0.0,0.0,30.2001187,-97.8877961,1.806,-0.807,-6.294,-1.806,-1.5717
0.101,-2.389,0.0,0.122,30.2001187,-97.8877936,1.806,-0.807,-6.056,-1.806,-1.5596
0.203,-0.875,0.0,0.118,30.2001187,-97.8877927,1.806,-0.807,-5.967,-1.806,-1.5475
0.303,1.776,0.23,1.271,30.2001187,-97.8877945,1.783,-0.807,-6.145,-1.783,-1.4201
0.402,0.405,0.114,0.859,30.2001188,-97.887795,1.772,-0.803,-6.185,-1.772,-1.3354
0.501,-0.416,0.04,0.663,30.2001189,-97.8877945,1.768,-0.793,-6.14,-1.768,-1.2694
0.602,-1.227,0.0,0.121,30.2001189,-97.8877932,1.768,-0.793,-6.011,-1.768,-1.2573
0.703,0.478,-0.004,0.451,30.200119,-97.8877936,1.769,-0.78,-6.058,-1.769,-1.2116
0.801,1.157,0.0,0.123,30.200119,-97.8877949,1.769,-0.78,-6.179,-1.769,-1.1995
0.903,2.439,-0.21,0.055,30.2001192,-97.8877976,1.79,-0.761,-6.44,-1.79,-1.1938
1.001,0.921,-0.281,0.026,30.2001193,-97.8877986,1.818,-0.75,-6.532,-1.818,-1.1912
1.103,-0.659,0.0,0.004,30.2001193,-97.8877978,1.818,-0.75,-6.46,-1.818,-1.1908
1.201,-1.99,-0.371,-0.035,30.2001194,-97.8877956,1.854,-0.735,-6.243,-1.854,-1.1943
1.302,-1.76,-0.474,-0.286,30.2001195,-97.8877935,1.902,-0.72,-6.048,-1.902,-1.2229
1.403,-2.035,-1.172,-0.352,30.2001197,-97.8877911,2.021,-0.695,-5.818,-2.021,-1.2587
1.501,-1.222,-0.61,-0.145,30.2001198,-97.8877898,2.081,-0.688,-5.69,-2.081,-1.2729
1.601,0.326,0.0,0.121,30.2001198,-97.8877902,2.081,-0.688,-5.724,-2.081,-1.2609
1.703,1.461,-0.573,-0.389,30.2001198,-97.8877918,2.139,-0.688,-5.881,-2.139,-1.3006
1.801,1.383,-0.569,-0.396,30.2001198,-97.8877933,2.195,-0.692,-6.023,-2.195,-1.3394
1.903,1.265,0.0,0.119,30.2001198,-97.8877946,2.195,-0.692,-6.155,-2.195,-1.3273
2.002,0.594,-0.828,-1.513,30.2001196,-97.8877953,2.277,-0.717,-6.221,-2.277,-1.4775
2.101,1.021,-0.245,0.122,30.2001194,-97.8877964,2.302,-0.733,-6.325,-2.302,-1.4654
2.203,-0.457,-0.185,-0.163,30.2001191,-97.887796,2.32,-0.772,-6.282,-2.32,-1.482
2.301,-1.781,0.0,0.005,30.2001191,-97.8877941,2.32,-0.772,-6.107,-2.32,-1.4815
2.403,-0.526,0.028,-0.11,30.2001188,-97.8877936,2.318,-0.796,-6.056,-2.318,-1.4927
2.501,-3.56,0.0,0.123,30.2001188,-97.88779,2.318,-0.796,-5.705,-2.318,-1.4806
2.603,-3.862,0.194,0.191,30.200119,-97.8877858,2.298,-0.773,-5.308,-2.298,-1.4612
2.701,-0.785,0.0,0.123,30.200119,-97.887785,2.298,-0.773,-5.23,-2.298,-1.4491
2.803,-4.189,0.112,0.272,30.2001193,-97.8877805,2.286,-0.745,-4.796,-2.286,-1.4214
2.902,-0.974,0.0,0.182,30.2001193,-97.8877795,2.286,-0.745,-4.699,-2.286,-1.4035
3.002,-1.332,0.278,0.404,30.2001204,-97.8877779,2.259,-0.624,-4.543,-2.259,-1.3629
3.101,-1.273,0.0,0.122,30.2001204,-97.8877765,2.259,-0.624,-4.414,-2.259,-1.3509
3.203,0.862,-0.115,0.35,30.2001207,-97.8877774,2.27,-0.592,-4.496,-2.27,-1.3154
3.301,-0.6,-0.234,0.118,30.2001209,-97.8877767,2.293,-0.57,-4.429,-2.293,-1.3037
3.401,-3.601,0.0,0.121,30.2001209,-97.8877728,2.293,-0.57,-4.056,-2.293,-1.2917
3.503,-4.176,-0.681,-0.21,30.2001209,-97.8877682,2.362,-0.569,-3.615,-2.362,-1.313
3.601,-2.576,-0.316,0.038,30.2001208,-97.8877655,2.394,-0.579,-3.355,-2.394,-1.3093
3.703,-1.573,-0.261,0.074,30.2001206,-97.8877638,2.42,-0.597,-3.195,-2.42,-1.3018
3.801,-2.917,0.0,0.123,30.2001206,-97.8877607,2.42,-0.597,-2.897,-2.42,-1.2897
3.902,-1.57,-0.166,0.167,30.2001205,-97.8877591,2.437,-0.611,-2.735,-2.437,-1.2728
4.002,-1.581,-0.332,0.541,30.2001201,-97.8877575,2.47,-0.655,-2.584,-2.47,-1.2189
4.102,-2.071,-0.072,0.436,30.2001199,-97.8877553,2.477,-0.676,-2.371,-2.477,-1.1753
