t,vx,vz,yaw_rate,lat,lon,rel_alt,p_n,p_e,p_d,yaw
4.201,-2.187,0.0,0.209,30.2001199,-97.8877528,2.477,-0.676,-2.138,-2.477,-1.1547
4.301,-1.873,-0.087,0.121,30.2001197,-97.8877508,2.486,-0.7,-1.943,-2.486,-1.1426
4.402,-1.186,-0.165,0.231,30.2001195,-97.8877496,2.503,-0.723,-1.822,-2.503,-1.1193
4.501,-1.82,-0.334,0.316,30.2001192,-97.8877477,2.536,-0.758,-1.639,-2.536,-1.0881
4.601,-2.306,0.0,0.121,30.2001192,-97.8877449,2.536,-0.758,-1.379,-2.536,-1.076
4.702,-0.314,-0.146,0.265,30.2001191,-97.8877446,2.55,-0.766,-1.347,-2.55,-1.0492
5.032,-0.725,-0.111,0.074,30.2001193,-97.8877416,2.587,-0.746,-1.059,-2.587,-1.0248
5.033,-633.988,0.0,30.208,30.2001193,-97.8877385,2.587,-0.746,-0.763,-2.587,-1.0127
5.033,-325.327,0.0,60.417,30.2001193,-97.8877377,2.587,-0.746,-0.686,-2.587,-1.0006
5.102,-1.108,-0.163,0.174,30.2001194,-97.8877367,2.599,-0.73,-0.584,-2.599,-0.9886
5.202,-0.194,-0.202,0.195,30.2001198,-97.8877362,2.619,-0.691,-0.535,-2.619,-0.9691
5.301,-0.565,0.0,0.122,30.2001198,-97.8877355,2.619,-0.691,-0.468,-2.619,-0.957
5.403,-0.995,-0.134,0.044,30.2001199,-97.887734,2.632,-0.674,-0.331,-2.632,-0.9525
5.501,-0.282,-0.138,0.06,30.20012,-97.8877336,2.646,-0.662,-0.289,-2.646,-0.9467
5.603,-0.162,-0.344,0.002,30.2001202,-97.8877333,2.681,-0.644,-0.256,-2.681,-0.9464
5.701,-0.924,0.0,0.123,30.2001202,-97.8877321,2.681,-0.644,-0.144,-2.681,-0.9344
5.802,-1.716,-0.171,-0.062,30.2001203,-97.8877298,2.698,-0.634,0.078,-2.698,-0.9406
5.901,-0.856,0.0,0.122,30.2001203,-97.8877287,2.698,-0.634,0.184,-2.698,-0.9285
6.004,-1.986,-0.462,-0.212,30.2001205,-97.8877259,2.745,-0.614,0.453,-2.745,-0.9502
6.102,-2.233,0.0,0.123,30.2001205,-97.8877231,2.745,-0.614,0.724,-2.745,-0.9381
6.202,-0.702,-0.212,-0.224,30.2001206,-97.887722,2.767,-0.596,0.824,-2.767,-0.9605
6.301,-0.693,0.0,0.122,30.2001206,-97.8877212,2.767,-0.596,0.908,-2.767,-0.9484
6.402,-0.657,0.0,0.12,30.2001206,-97.8877203,2.767,-0.596,0.989,-2.767,-0.9363
6.503,0.04,-0.501,-0.234,30.2001212,-97.8877199,2.817,-0.533,1.03,-2.817,-0.96
6.602,-1.468,0.0,0.122,30.2001212,-97.887718,2.817,-0.533,1.207,-2.817,-0.9479
6.703,0.057,-0.235,-0.058,30.2001216,-97.8877178,2.841,-0.487,1.233,-2.841,-0.9538
6.802,0.358,0.0,0.043,30.2001216,-97.8877182,2.841,-0.487,1.189,-2.841,-0.9496
6.902,0.379,-0.033,0.035,30.2001218,-97.8877186,2.844,-0.469,1.155,-2.844,-0.946
7.002,0.487,0.009,0.004,30.2001219,-97.8877191,2.844,-0.452,1.108,-2.844,-0.9456
7.102,0.603,0.043,0.123,30.2001221,-97.8877197,2.839,-0.439,1.043,-2.839,-0.9333
7.203,0.299,0.112,0.197,30.2001222,-97.88772,2.828,-0.427,1.014,-2.828,-0.9133
7.301,-0.28,0.223,0.256,30.2001222,-97.8877196,2.806,-0.419,1.055,-2.806,-0.8882
7.401,-0.197,0.0,0.121,30.2001222,-97.8877194,2.806,-0.419,1.08,-2.806,-0.8761
7.502,-0.36,0.932,0.454,30.2001219,-97.8877192,2.712,-0.457,1.096,-2.712,-0.8301
7.601,-0.162,0.0,0.123,30.2001219,-97.887719,2.712,-0.457,1.118,-2.712,-0.8181
7.702,0.235,0.0,0.173,30.2001219,-97.8877193,2.712,-0.457,1.085,-2.712,-0.8006
7.803,-0.21,0.944,0.189,30.200121,-97.88772,2.617,-0.557,1.018,-2.617,-0.7816
7.902,-0.393,0.897,1.005,30.2001197,-97.887721,2.528,-0.703,0.926,-2.528,-0.6815
8.001,0.081,0.0,0.122,30.2001197,-97.8877211,2.528,-0.703,0.913,-2.528,-0.6694
8.102,-0.972,0.304,0.632,30.200119,-97.8877205,2.497,-0.779,0.974,-2.497,-0.6059
8.201,-0.248,0.0,0.121,30.200119,-97.88772,2.497,-0.779,1.017,-2.497,-0.5938
8.303,-0.709,0.096,2.596,30.2001178,-97.8877207,2.487,-0.91,0.953,-2.487,-0.3293
8.402,-0.171,-0.253,1.333,30.2001174,-97.8877214,2.513,-0.951,0.884,-2.513,-0.1969
8.501,-0.127,-0.418,0.122,30.2001172,-97.8877222,2.554,-0.979,0.811,-2.554,-0.1848
8.603,-0.042,-0.54,1.706,30.200117,-97.887723,2.609,-0.998,0.733,-2.609,-0.0109
8.702,-0.262,-1.159,0.894,30.2001168,-97.8877239,2.723,-1.024,0.643,-2.723,0.0772
8.803,-0.261,-0.495,0.434,30.2001166,-97.8877252,2.773,-1.041,0.52,-2.773,0.121
8.901,0.021,0.0,0.123,30.2001166,-97.887725,2.773,-1.041,0.537,-2.773,0.1331
9.002,-0.43,-0.805,0.87,30.2001162,-97.887725,2.854,-1.085,0.539,-2.854,0.2206
9.102,0.148,0.0,0.121,30.2001162,-97.8877243,2.854,-1.085,0.607,-2.854,0.2326
9.203,-0.276,-0.359,0.611,30.2001161,-97.8877248,2.89,-1.103,0.561,-2.89,0.2944
9.302,-0.379,-0.35,0.137,30.200116,-97.8877256,2.925,-1.117,0.477,-2.925,0.3079
9.402,-0.177,-0.388,0.07,30.200116,-97.8877263,2.964,-1.115,0.413,-2.964,0.315
9.502,-0.034,-0.392,-0.156,30.2001161,-97.8877268,3.003,-1.104,0.367,-3.003,0.2995
9.601,0.182,-0.438,-0.098,30.2001163,-97.887727,3.047,-1.078,0.345,-3.047,0.2897
9.701,0.415,0.0,0.121,30.2001163,-97.8877255,3.047,-1.078,0.491,-3.047,0.3018
9.803,0.588,0.0,0.118,30.2001163,-97.8877234,3.047,-1.078,0.692,-3.047,0.3139
10.136,1.325,-0.449,-1.08,30.2001187,-97.887717,3.196,-0.816,1.31,-3.196,-0.045
10.136,-9.254,0.0,30.208,30.2001187,-97.8877161,3.196,-0.816,1.392,-3.196,-0.0329
10.136,-18.662,0.0,40.278,30.2001187,-97.8877143,3.196,-0.816,1.562,-3.196,-0.0208
10.201,-0.047,0.0,0.186,30.2001187,-97.8877128,3.196,-0.816,1.708,-3.196,-0.0088
10.302,-0.011,0.0,0.12,30.2001187,-97.8877115,3.196,-0.816,1.84,-3.196,0.0033
10.401,-0.001,0.0,0.122,30.2001187,-97.8877117,3.196,-0.816,1.813,-3.196,0.0154
10.504,0.692,0.142,-1.291,30.2001193,-97.8877092,3.181,-0.748,2.054,-3.181,-0.1174
10.602,0.329,0.272,-1.198,30.2001198,-97.8877067,3.154,-0.686,2.301,-3.154,-0.2356
10.703,-0.021,0.311,-0.892,30.2001203,-97.8877042,3.123,-0.633,2.533,-3.123,-0.3255
10.801,-0.275,0.0,0.124,30.2001203,-97.8877034,3.123,-0.633,2.617,-3.123,-0.3134
10.903,-0.167,0.0,-0.181,30.2001203,-97.8877028,3.123,-0.633,2.672,-3.123,-0.3319
11.002,0.414,0.026,-0.792,30.200121,-97.8877018,3.12,-0.557,2.765,-3.12,-0.4106
11.103,0.221,0.0,-0.145,30.200121,-97.8877024,3.12,-0.557,2.709,-3.12,-0.4252
11.202,1.309,-0.461,-0.381,30.2001216,-97.8877042,3.166,-0.492,2.537,-3.166,-0.463
11.301,0.593,0.0,0.122,30.2001216,-97.8877056,3.166,-0.492,2.406,-3.166,-0.4509
11.404,0.497,-0.718,0.22,30.2001224,-97.8877049,3.24,-0.405,2.469,-3.24,-0.4284
11.501,0.041,0.0,0.124,30.2001224,-97.887705,3.24,-0.405,2.459,-3.24,-0.4163
11.604,0.358,-0.794,0.43,30.2001232,-97.8877038,3.321,-0.313,2.576,-3.321,-0.3722
11.702,-0.586,-0.414,0.588,30.2001235,-97.8877013,3.362,-0.282,2.815,-3.362,-0.3148
11.803,-0.289,-0.28,0.639,30.2001236,-97.8876998,3.39,-0.265,2.962,-3.39,-0.2497
11.902,-0.339,-0.128,0.379,30.2001236,-97.8876986,3.403,-0.27,3.075,-3.403,-0.2123
12.001,-0.569,0.023,0.379,30.2001234,-97.8876969,3.4,-0.292,3.242,-3.4,-0.1746
12.101,-0.212,0.0,0.378,30.2001234,-97.8876956,3.4,-0.292,3.364,-3.4,-0.1368
12.204,-0.79,0.204,0.842,30.2001226,-97.8876956,3.38,-0.374,3.362,-3.38,-0.0505
12.302,-0.074,0.0,0.124,30.2001226,-97.8876941,3.38,-0.374,3.504,-3.38,-0.0384
12.401,-0.012,0.0,0.121,30.2001226,-97.8876938,3.38,-0.374,3.535,-3.38,-0.0263
12.504,-1.31,0.512,0.727,30.2001214,-97.8876965,3.327,-0.516,3.281,-3.327,0.0484
12.603,-0.02,0.0,0.122,30.2001214,-97.8876969,3.327,-0.516,3.24,-3.327,0.0605
12.702,-0.942,0.545,0.17,30.2001206,-97.8876985,3.273,-0.6,3.088,-3.273,0.0773
12.802,-0.04,0.0,0.065,30.2001206,-97.887699,3.273,-0.6,3.036,-3.273,0.0838
12.903,-0.531,0.349,0.035,30.2001203,-97.8877008,3.238,-0.639,2.862,-3.238,0.0874
13.002,-0.94,0.918,-0.175,30.2001195,-97.8877022,3.147,-0.721,2.727,-3.147,0.0701
13.103,-0.444,0.458,0.08,30.2001192,-97.887703,3.101,-0.761,2.654,-3.101,0.0782
13.202,-0.027,0.0,0.134,30.2001192,-97.8877033,3.101,-0.761,2.62,-3.101,0.0914
13.302,-0.426,0.422,0.163,30.2001188,-97.8877038,3.058,-0.799,2.577,-3.058,0.1077
13.404,-0.723,0.646,0.32,30.2001182,-97.8877046,2.992,-0.865,2.5,-2.992,0.1404
13.501,-0.234,0.206,0.197,30.200118,-97.8877048,2.972,-0.886,2.481,-2.972,0.1596
13.601,-0.023,0.0,0.121,30.200118,-97.8877049,2.972,-0.886,2.467,-2.972,0.1717
13.704,0.07,0.116,0.194,30.200118,-97.8877042,2.96,-0.891,2.539,-2.96,0.1916
13.801,0.119,0.0,0.124,30.200118,-97.8877035,2.96,-0.891,2.6,-2.96,0.2037
13.903,0.684,0.038,0.326,30.2001181,-97.8877006,2.956,-0.878,2.882,-2.956,0.2368
14.003,0.888,-0.071,0.201,30.2001184,-97.8876979,2.963,-0.849,3.139,-2.963,0.2569
14.103,1.115,-0.379,0.187,30.2001192,-97.8876969,3.001,-0.761,3.241,-3.001,0.2755
14.202,0.972,-0.449,0.425,30.20012,-97.8876965,3.046,-0.671,3.281,-3.046,0.318
14.301,0.124,0.0,0.239,30.20012,-97.8876961,3.046,-0.671,3.32,-3.046,0.3416
14.403,0.4,-0.209,0.118,30.2001202,-97.8876955,3.068,-0.648,3.377,-3.068,0.3537
14.502,0.326,-0.207,0.273,30.2001203,-97.8876948,3.088,-0.639,3.445,-3.088,0.3806
14.604,0.309,-0.427,0.173,30.2001202,-97.8876936,3.131,-0.649,3.554,-3.131,0.3982
14.702,0.005,-0.227,0.259,30.2001202,-97.8876936,3.154,-0.647,3.552,-3.154,0.4235
14.803,-0.237,0.0,0.236,30.2001202,-97.8876943,3.154,-0.647,3.493,-3.154,0.4475
14.902,-0.279,0.0,0.123,30.2001202,-97.8876949,3.154,-0.647,3.43,-3.154,0.4596
15.237,0.102,-0.305,0.319,30.2001217,-97.8876977,3.256,-0.478,3.165,-3.256,0.5666
15.237,-72.066,0.0,24.167,30.2001217,-97.8876984,3.256,-0.478,3.098,-3.256,0.5787
15.237,-16.968,0.0,40.278,30.2001217,-97.8876985,3.256,-0.478,3.089,-3.256,0.5908
15.302,0.473,0.0,0.221,30.2001217,-97.8876979,3.256,-0.478,3.143,-3.256,0.605
15.401,0.262,0.0,0.121,30.2001217,-97.8876974,3.256,-0.478,3.189,-3.256,0.6171
15.504,2.131,-0.096,0.138,30.2001225,-97.8876948,3.266,-0.391,3.443,-3.266,0.6312
15.601,0.387,0.0,0.124,30.2001225,-97.8876941,3.266,-0.391,3.507,-3.266,0.6432
15.703,1.247,0.51,0.274,30.2001227,-97.8876923,3.214,-0.365,3.684,-3.214,0.6711
15.801,-0.842,0.0,0.123,30.2001227,-97.8876937,3.214,-0.365,3.551,-3.214,0.6832
15.903,0.002,0.744,0.275,30.2001227,-97.8876937,3.138,-0.361,3.547,-3.138,0.7114
16.001,0.481,0.367,0.212,30.2001227,-97.8876929,3.102,-0.364,3.623,-3.102,0.7321
16.103,0.266,0.0,0.221,30.2001227,-97.8876925,3.102,-0.364,3.663,-3.102,0.7544
16.201,1.18,0.362,0.27,30.2001227,-97.8876906,3.066,-0.372,3.842,-3.066,0.7811
16.301,0.598,0.0,0.236,30.2001227,-97.8876897,3.066,-0.372,3.926,-3.066,0.8046
16.403,0.088,0.355,0.175,30.2001225,-97.8876895,3.03,-0.387,3.953,-3.03,0.8224
16.503,-1.249,1.254,0.01,30.2001215,-97.8876902,2.904,-0.496,3.884,-2.904,0.8234
16.601,-0.948,0.0,0.123,30.2001215,-97.8876915,2.904,-0.496,3.756,-2.904,0.8355
16.704,-1.846,0.846,0.507,30.2001204,-97.887693,2.818,-0.618,3.611,-2.818,0.8875
16.801,0.687,0.0,0.124,30.2001204,-97.8876921,2.818,-0.618,3.697,-2.818,0.8996
16.902,0.479,0.0,0.12,30.2001204,-97.8876915,2.818,-0.618,3.759,-2.818,0.9117
17.002,0.04,0.079,0.501,30.2001199,-97.8876909,2.81,-0.68,3.812,-2.81,0.9616
17.104,0.072,-1.5,0.423,30.2001192,-97.8876902,2.963,-0.761,3.878,-2.963,1.0048
17.202,0.221,-0.85,0.143,30.2001192,-97.88769,3.046,-0.752,3.898,-3.046,1.0187
17.301,0.529,0.0,0.077,30.2001192,-97.8876894,3.046,-0.752,3.96,-3.046,1.0264
17.403,0.347,-0.953,0.119,30.2001194,-97.8876891,3.143,-0.732,3.989,-3.143,1.0385
17.502,-1.907,-1.907,-0.594,30.2001199,-97.8876917,3.331,-0.678,3.739,-3.331,0.9798
17.604,0.308,-0.722,-0.386,30.2001202,-97.8876915,3.405,-0.65,3.757,-3.405,0.9407
17.701,2.281,0.0,0.124,30.2001202,-97.8876886,3.405,-0.65,4.033,-3.405,0.9527
17.803,-0.004,-0.546,-0.415,30.2001204,-97.8876889,3.46,-0.621,4.011,-3.46,0.9105
17.903,-0.192,-0.77,-0.391,30.2001209,-97.8876895,3.537,-0.571,3.949,-3.537,0.8715
18.002,0.753,-0.325,-0.103,30.2001211,-97.8876887,3.569,-0.544,4.024,-3.569,0.8613
18.102,-0.005,0.0,0.121,30.2001211,-97.8876887,3.569,-0.544,4.023,-3.569,0.8734
18.203,-0.001,-0.269,-0.29,30.2001214,-97.887689,3.596,-0.51,3.994,-3.596,0.8439
18.302,-0.983,-0.202,-0.323,30.2001218,-97.8876908,3.616,-0.468,3.827,-3.616,0.812
18.403,-0.34,-0.199,-0.134,30.2001223,-97.8876918,3.637,-0.417,3.731,-3.637,0.7984
18.502,0.958,-0.14,-0.371,30.2001228,-97.887691,3.65,-0.36,3.807,-3.65,0.7619
18.602,0.763,0.0,-0.115,30.2001228,-97.8876898,3.65,-0.36,3.917,-3.65,0.7504
18.704,1.166,0.084,-0.33,30.2001243,-97.8876899,3.642,-0.192,3.912,-3.642,0.7166
18.801,0.394,0.0,0.124,30.2001243,-97.8876893,3.642,-0.192,3.971,-3.642,0.7287
18.904,0.101,0.507,0.167,30.200125,-97.88769,3.59,-0.115,3.9,-3.59,0.7458
19.001,-0.269,0.0,0.124,30.200125,-97.8876904,3.59,-0.115,3.861,-3.59,0.7579
19.102,0.514,0.329,0.499,30.2001252,-97.8876899,3.556,-0.087,3.907,-3.556,0.8085
19.202,0.977,0.518,0.755,30.2001256,-97.8876889,3.505,-0.047,4.004,-3.505,0.8838
19.301,0.993,0.0,0.122,30.2001256,-97.8876876,3.505,-0.047,4.131,-3.505,0.8959
19.401,1.626,0.0,0.121,30.2001256,-97.8876855,3.505,-0.047,4.339,-3.505,0.908
19.503,0.841,0.034,1.038,30.2001262,-97.8876849,3.501,0.022,4.394,-3.501,1.0144
19.603,0.019,0.0,0.122,30.2001262,-97.8876849,3.501,0.022,4.397,-3.501,1.0265
19.702,-4.441,0.099,1.172,30.2001267,-97.8876906,3.491,0.076,3.848,-3.491,1.143
19.801,-5.72,0.0,0.122,30.2001267,-97.887697,3.491,0.076,3.225,-3.491,1.1551
19.903,-3.058,0.0,0.118,30.2001267,-97.8877006,3.491,0.076,2.884,-3.491,1.1672
20.002,-1.495,0.181,0.752,30.2001269,-97.8877024,3.474,0.099,2.714,-3.474,1.2416
20.337,-1.935,0.341,0.422,30.2001271,-97.8877096,3.36,0.12,2.022,-3.36,1.3828
20.337,307.458,0.0,24.167,30.2001271,-97.8877079,3.36,0.12,2.179,-3.36,1.3949
20.338,319.617,0.0,40.278,30.2001271,-97.8877069,3.36,0.12,2.276,-3.36,1.407
20.402,-4.894,0.355,0.681,30.2001271,-97.8877102,3.337,0.117,1.959,-3.337,1.4506
20.501,4.332,0.0,0.122,30.2001271,-97.8877057,3.337,0.117,2.392,-3.337,1.4627
20.603,-3.782,0.049,0.393,30.2001271,-97.8877098,3.332,0.124,2.004,-3.332,1.5028
20.702,-7.309,-0.349,0.224,30.2001275,-97.8877173,3.366,0.168,1.277,-3.366,1.5249
20.801,-14.224,0.0,0.121,30.2001275,-97.887732,3.366,0.168,-0.139,-3.366,1.537
20.901,-4.282,0.0,0.121,30.2001275,-97.8877365,3.366,0.168,-0.569,-3.366,1.549
21.002,-2.987,-0.348,0.118,30.2001279,-97.8877397,3.401,0.211,-0.872,-3.401,1.5609
21.103,-4.381,-0.575,-0.064,30.2001289,-97.8877443,3.459,0.327,-1.313,-3.459,1.5545
21.202,-1.63,0.01,-0.164,30.20013,-97.887746,3.458,0.441,-1.476,-3.458,1.5383
21.301,4.111,0.0,0.074,30.20013,-97.8877417,3.458,0.441,-1.068,-3.458,1.5456
21.403,4.886,0.0,0.119,30.20013,-97.8877366,3.458,0.441,-0.572,-3.458,1.5577
21.502,0.308,0.926,0.045,30.2001311,-97.8877363,3.366,0.569,-0.544,-3.366,1.5622
21.602,11.415,0.0,0.121,30.2001311,-97.8877244,3.366,0.569,0.596,-3.366,1.5743
