t,vx,vz,yaw_rate,lat,lon,rel_alt,p_n,p_e,p_d,yaw
3.801,-1.21,0.0,0.049,30.2001206,-97.8877452,2.42,-0.597,-1.4,-2.42,-1.5652
3.902,-0.714,-0.166,0.095,30.2001205,-97.8877444,2.437,-0.611,-1.328,-2.437,-1.5556
4.002,-1.227,-0.332,0.468,30.2001201,-97.8877431,2.47,-0.655,-1.206,-2.47,-1.5089
4.102,-1.125,-0.072,0.364,30.2001199,-97.887742,2.477,-0.676,-1.095,-2.477,-1.4725
4.201,-0.944,0.0,0.135,30.2001199,-97.887741,2.477,-0.676,-1.001,-2.477,-1.4592
4.301,-1.035,-0.087,0.048,30.2001197,-97.88774,2.486,-0.7,-0.9,-2.486,-1.4544
4.402,-0.671,-0.165,0.159,30.2001195,-97.8877393,2.503,-0.723,-0.834,-2.503,-1.4383
4.501,-0.968,-0.334,0.242,30.2001192,-97.8877383,2.536,-0.758,-0.742,-2.536,-1.4143
4.601,-1.029,0.0,0.048,30.2001192,-97.8877372,2.536,-0.758,-0.638,-2.536,-1.4095
4.702,-0.173,-0.146,0.193,30.2001191,-97.8877371,2.55,-0.766,-0.622,-2.55,-1.3899
5.032,-0.361,-0.111,0.052,30.2001193,-97.8877358,2.587,-0.746,-0.497,-2.587,-1.3728
5.033,-290.939,0.0,12.083,30.2001193,-97.8877345,2.587,-0.746,-0.378,-2.587,-1.368
5.033,-150.262,0.0,24.167,30.2001193,-97.8877342,2.587,-0.746,-0.347,-2.587,-1.3631
5.102,-0.578,-0.163,0.07,30.2001194,-97.8877338,2.599,-0.73,-0.303,-2.599,-1.3583
5.202,-0.171,-0.202,0.123,30.2001198,-97.8877335,2.619,-0.691,-0.277,-2.619,-1.3461
5.301,-0.267,0.0,0.049,30.2001198,-97.8877332,2.619,-0.691,-0.25,-2.619,-1.3413
5.403,-0.498,-0.134,-0.027,30.2001199,-97.8877326,2.632,-0.674,-0.194,-2.632,-1.344
5.501,-0.143,-0.138,-0.014,30.20012,-97.8877324,2.646,-0.662,-0.177,-2.646,-1.3454
5.603,-0.104,-0.344,-0.069,30.2001202,-97.8877323,2.681,-0.644,-0.162,-2.681,-1.3524
5.701,-0.445,0.0,0.049,30.2001202,-97.8877318,2.681,-0.644,-0.117,-2.681,-1.3476
5.802,-0.869,-0.171,-0.134,30.2001203,-97.8877309,2.698,-0.634,-0.025,-2.698,-1.3611
5.901,-0.415,0.0,0.049,30.2001203,-97.8877304,2.698,-0.634,0.017,-2.698,-1.3563
6.004,-1.11,-0.462,-0.283,30.2001205,-97.8877292,2.745,-0.614,0.138,-2.745,-1.3852
6.102,-1.079,0.0,0.049,30.2001205,-97.887728,2.745,-0.614,0.246,-2.745,-1.3804
6.202,-0.405,-0.212,-0.296,30.2001206,-97.8877276,2.767,-0.596,0.291,-2.767,-1.41
6.301,-0.334,0.0,0.049,30.2001206,-97.8877272,2.767,-0.596,0.325,-2.767,-1.4051
6.402,-0.319,0.0,0.048,30.2001206,-97.8877269,2.767,-0.596,0.357,-2.767,-1.4003
6.503,-0.119,-0.501,-0.305,30.2001212,-97.8877266,2.817,-0.533,0.38,-2.817,-1.4312
6.602,-0.71,0.0,0.049,30.2001212,-97.8877259,2.817,-0.533,0.451,-2.817,-1.4264
6.703,-0.072,-0.235,-0.13,30.2001216,-97.8877258,2.841,-0.487,0.465,-2.841,-1.4395
6.802,0.174,0.0,-0.031,30.2001216,-97.8877259,2.841,-0.487,0.447,-2.841,-1.4426
6.902,0.136,-0.033,-0.037,30.2001218,-97.8877261,2.844,-0.469,0.436,-2.844,-1.4463
7.002,0.169,0.009,-0.069,30.2001219,-97.8877262,2.844,-0.452,0.421,-2.844,-1.4531
7.102,0.228,0.043,0.05,30.2001221,-97.8877264,2.839,-0.439,0.4,-2.839,-1.4481
7.203,0.059,0.112,0.126,30.2001222,-97.8877265,2.828,-0.427,0.395,-2.828,-1.4353
7.301,-0.224,0.223,0.182,30.2001222,-97.8877262,2.806,-0.419,0.418,-2.806,-1.4175
7.401,-0.1,0.0,0.048,30.2001222,-97.8877261,2.806,-0.419,0.428,-2.806,-1.4126
7.502,-0.23,0.932,0.383,30.2001219,-97.887726,2.712,-0.457,0.446,-2.712,-1.3739
7.601,-0.086,0.0,0.049,30.2001219,-97.8877259,2.712,-0.457,0.455,-2.712,-1.3691
7.702,0.126,0.0,0.101,30.2001219,-97.887726,2.712,-0.457,0.442,-2.712,-1.3588
7.803,0.193,0.944,0.117,30.200121,-97.8877264,2.617,-0.557,0.4,-2.617,-1.3471
7.902,0.291,0.897,0.932,30.2001197,-97.8877271,2.528,-0.703,0.337,-2.528,-1.2543
8.001,0.049,0.0,0.049,30.2001197,-97.8877271,2.528,-0.703,0.332,-2.528,-1.2494
8.102,-0.34,0.304,0.56,30.200119,-97.887727,2.497,-0.779,0.343,-2.497,-1.1932
8.201,-0.162,0.0,0.049,30.200119,-97.8877269,2.497,-0.779,0.36,-2.497,-1.1883
8.303,0.052,0.096,2.525,30.2001178,-97.8877275,2.487,-0.91,0.302,-2.487,-0.931
8.402,0.12,-0.253,1.26,30.2001174,-97.8877279,2.513,-0.951,0.256,-2.513,-0.8059
8.501,0.166,-0.418,0.049,30.2001172,-97.8877284,2.554,-0.979,0.207,-2.554,-0.8011
8.603,0.258,-0.54,1.635,30.200117,-97.887729,2.609,-0.998,0.152,-2.609,-0.6344
8.702,0.392,-1.159,0.82,30.2001168,-97.8877301,2.723,-1.024,0.051,-2.723,-0.5536
8.803,0.327,-0.495,0.362,30.2001166,-97.887731,2.773,-1.041,-0.039,-2.773,-0.517
8.901,-0.034,0.0,0.049,30.2001166,-97.8877309,2.773,-1.041,-0.033,-2.773,-0.5121
9.002,0.031,-0.805,0.798,30.2001162,-97.8877318,2.854,-1.085,-0.117,-2.854,-0.4319
9.102,-0.113,0.0,0.048,30.2001162,-97.8877315,2.854,-1.085,-0.09,-2.854,-0.4271
9.203,0.073,-0.359,0.539,30.2001161,-97.8877321,2.89,-1.103,-0.147,-2.89,-0.3726
9.302,0.11,-0.35,0.063,30.200116,-97.8877328,2.925,-1.117,-0.212,-2.925,-0.3664
9.402,0.184,-0.388,-0.002,30.200116,-97.8877333,2.964,-1.115,-0.259,-2.964,-0.3665
9.502,0.22,-0.392,-0.229,30.2001161,-97.8877336,3.003,-1.104,-0.29,-3.003,-0.3893
9.601,0.283,-0.438,-0.171,30.2001163,-97.8877337,3.047,-1.078,-0.302,-3.047,-0.4063
9.701,-0.229,0.0,0.048,30.2001163,-97.8877331,3.047,-1.078,-0.244,-3.047,-0.4015
9.803,-0.309,0.0,0.047,30.2001163,-97.8877323,3.047,-1.078,-0.163,-3.047,-0.3966
10.136,0.265,-0.449,-1.102,30.2001187,-97.8877282,3.196,-0.816,0.235,-3.196,-0.7628
10.136,-56.845,0.0,12.083,30.2001187,-97.8877278,3.196,-0.816,0.268,-3.196,-0.7579
10.136,-155.88,0.0,16.111,30.2001187,-97.8877271,3.196,-0.816,0.336,-3.196,-0.7531
10.201,-0.614,0.0,0.074,30.2001187,-97.8877265,3.196,-0.816,0.395,-3.196,-0.7483
10.302,-0.357,0.0,0.048,30.2001187,-97.8877259,3.196,-0.816,0.448,-3.196,-0.7434
10.401,0.074,0.0,0.049,30.2001187,-97.8877261,3.196,-0.816,0.437,-3.196,-0.7386
10.504,-0.71,0.142,-1.362,30.2001193,-97.8877242,3.181,-0.748,0.619,-3.181,-0.8787
10.602,-1.025,0.272,-1.272,30.2001198,-97.8877223,3.154,-0.686,0.802,-3.154,-1.0041
10.703,-1.109,0.311,-0.964,30.2001203,-97.8877205,3.123,-0.633,0.968,-3.123,-1.1012
10.801,-0.307,0.0,0.05,30.2001203,-97.8877202,3.123,-0.633,1.002,-3.123,-1.0964
10.903,-0.192,0.0,-0.252,30.2001203,-97.8877199,3.123,-0.633,1.024,-3.123,-1.1221
11.002,-0.703,0.026,-0.864,30.200121,-97.8877188,3.12,-0.557,1.138,-3.12,-1.2081
11.103,0.207,0.0,-0.217,30.200121,-97.887719,3.12,-0.557,1.116,-3.12,-1.2299
11.202,0.547,-0.461,-0.454,30.2001216,-97.8877194,3.166,-0.492,1.081,-3.166,-1.275
11.301,0.508,0.0,0.049,30.2001216,-97.8877199,3.166,-0.492,1.029,-3.166,-1.2702
11.404,-0.253,-0.718,0.149,30.2001224,-97.8877193,3.24,-0.405,1.083,-3.24,-1.2549
11.501,0.038,0.0,0.05,30.2001224,-97.8877194,3.24,-0.405,1.079,-3.24,-1.2501
11.604,-0.258,-0.794,0.359,30.2001232,-97.8877188,3.321,-0.313,1.137,-3.321,-1.2132
11.702,-0.761,-0.414,0.513,30.2001235,-97.8877178,3.362,-0.282,1.228,-3.362,-1.163
11.803,-0.372,-0.28,0.568,30.2001236,-97.8877173,3.39,-0.265,1.277,-3.39,-1.1052
11.902,-0.285,-0.128,0.305,30.2001236,-97.887717,3.403,-0.27,1.306,-3.403,-1.0751
12.001,-0.511,0.023,0.306,30.2001234,-97.8877165,3.4,-0.292,1.352,-3.4,-1.0446
12.101,-0.421,0.0,0.306,30.2001234,-97.887716,3.4,-0.292,1.4,-3.4,-1.0141
12.204,0.053,0.204,0.772,30.2001226,-97.8877166,3.38,-0.374,1.343,-3.38,-0.935
12.302,-0.47,0.0,0.049,30.2001226,-97.887716,3.38,-0.374,1.4,-3.38,-0.9301
12.401,-0.097,0.0,0.048,30.2001226,-97.8877159,3.38,-0.374,1.412,-3.38,-0.9253
12.504,0.83,0.512,0.657,30.2001214,-97.8877181,3.327,-0.516,1.199,-3.327,-0.8579
12.603,0.125,0.0,0.049,30.2001214,-97.8877183,3.327,-0.516,1.182,-3.327,-0.853
12.702,0.43,0.545,0.097,30.2001206,-97.8877196,3.273,-0.6,1.052,-3.273,-0.8435
12.802,0.156,0.0,-0.007,30.2001206,-97.8877199,3.273,-0.6,1.032,-3.273,-0.8442
12.903,0.462,0.349,-0.036,30.2001203,-97.8877209,3.238,-0.639,0.934,-3.238,-0.8479
13.002,0.129,0.918,-0.248,30.2001195,-97.8877218,3.147,-0.721,0.845,-3.147,-0.8724
13.103,0.034,0.458,0.008,30.2001192,-97.8877222,3.101,-0.761,0.807,-3.101,-0.8716
13.202,0.105,0.0,0.06,30.2001192,-97.8877223,3.101,-0.761,0.794,-3.101,-0.8656
13.302,-0.109,0.422,0.091,30.2001188,-97.8877225,3.058,-0.799,0.775,-3.058,-0.8566
13.404,-0.337,0.646,0.249,30.2001182,-97.8877227,2.992,-0.865,0.763,-2.992,-0.8311
13.501,-0.211,0.206,0.122,30.200118,-97.8877226,2.972,-0.886,0.773,-2.972,-0.8191
13.601,0.043,0.0,0.048,30.200118,-97.8877226,2.972,-0.886,0.767,-2.972,-0.8143
13.704,-0.4,0.116,0.123,30.200118,-97.8877221,2.96,-0.891,0.818,-2.96,-0.8017
13.801,-0.18,0.0,0.049,30.200118,-97.8877218,2.96,-0.891,0.842,-2.96,-0.7968
13.903,-0.901,0.038,0.255,30.2001181,-97.8877204,2.956,-0.878,0.983,-2.956,-0.771
14.003,-0.74,-0.071,0.129,30.2001184,-97.887719,2.963,-0.849,1.119,-2.963,-0.7581
14.103,-0.135,-0.379,0.114,30.2001192,-97.8877178,3.001,-0.761,1.232,-3.001,-0.7467
14.202,0.145,-0.449,0.353,30.20012,-97.887717,3.046,-0.671,1.308,-3.046,-0.7115
14.301,-0.103,0.0,0.165,30.20012,-97.8877168,3.046,-0.671,1.323,-3.046,-0.6951
14.403,-0.059,-0.209,0.047,30.2001202,-97.8877164,3.068,-0.648,1.36,-3.068,-0.6903
14.502,-0.117,-0.207,0.199,30.2001203,-97.8877161,3.088,-0.639,1.389,-3.088,-0.6707
14.604,-0.2,-0.427,0.101,30.2001202,-97.8877159,3.131,-0.649,1.41,-3.131,-0.6603
14.702,0.132,-0.227,0.185,30.2001202,-97.8877161,3.154,-0.647,1.39,-3.154,-0.6422
14.803,0.138,0.0,0.165,30.2001202,-97.8877164,3.154,-0.647,1.367,-3.154,-0.6255
14.902,0.151,0.0,0.049,30.2001202,-97.8877166,3.154,-0.647,1.342,-3.154,-0.6207
15.237,0.771,-0.305,0.298,30.2001217,-97.8877188,3.256,-0.478,1.134,-3.256,-0.5209
15.237,26.724,0.0,9.667,30.2001217,-97.8877191,3.256,-0.478,1.107,-3.256,-0.516
15.237,6.123,0.0,16.111,30.2001217,-97.8877191,3.256,-0.478,1.103,-3.256,-0.5112
15.302,-0.166,0.0,0.108,30.2001217,-97.8877189,3.256,-0.478,1.125,-3.256,-0.5043
15.401,-0.089,0.0,0.048,30.2001217,-97.8877187,3.256,-0.478,1.144,-3.256,-0.4994
15.504,0.478,-0.096,0.067,30.2001225,-97.8877181,3.266,-0.391,1.202,-3.266,-0.4926
15.601,-0.124,0.0,0.05,30.2001225,-97.8877178,3.266,-0.391,1.228,-3.266,-0.4878
15.703,-0.125,0.51,0.203,30.2001227,-97.887717,3.214,-0.365,1.304,-3.214,-0.4671
15.801,0.244,0.0,0.049,30.2001227,-97.8877176,3.214,-0.365,1.25,-3.214,-0.4623
15.903,-0.114,0.744,0.204,30.2001227,-97.8877172,3.138,-0.361,1.283,-3.138,-0.4414
16.001,-0.248,0.367,0.138,30.2001227,-97.8877167,3.102,-0.364,1.334,-3.102,-0.4279
16.103,-0.066,0.0,0.149,30.2001227,-97.8877166,3.102,-0.364,1.35,-3.102,-0.4128
16.201,-0.421,0.362,0.197,30.2001227,-97.8877157,3.066,-0.372,1.436,-3.066,-0.3934
16.301,-0.13,0.0,0.163,30.2001227,-97.8877153,3.066,-0.372,1.47,-3.066,-0.3771
16.403,-0.191,0.355,0.104,30.2001225,-97.8877151,3.03,-0.387,1.485,-3.03,-0.3666
16.503,-0.773,1.254,-0.062,30.2001215,-97.8877159,2.904,-0.496,1.416,-2.904,-0.3728
16.601,0.188,0.0,0.049,30.2001215,-97.8877164,2.904,-0.496,1.365,-2.904,-0.368
16.704,-0.762,0.846,0.436,30.2001204,-97.8877174,2.818,-0.618,1.267,-2.818,-0.3232
16.801,-0.113,0.0,0.05,30.2001204,-97.8877171,2.818,-0.618,1.302,-2.818,-0.3184
16.902,-0.077,0.0,0.048,30.2001204,-97.8877168,2.818,-0.618,1.326,-2.818,-0.3136
17.002,-0.62,0.079,0.428,30.2001199,-97.8877167,2.81,-0.68,1.335,-2.81,-0.2709
17.104,-0.778,-1.5,0.352,30.2001192,-97.8877166,2.963,-0.761,1.342,-2.963,-0.2349
17.202,0.11,-0.85,0.068,30.2001192,-97.8877167,3.046,-0.752,1.333,-3.046,-0.2283
17.301,-0.056,0.0,0.004,30.2001192,-97.8877165,3.046,-0.752,1.358,-3.046,-0.2279
17.403,0.229,-0.953,0.047,30.2001194,-97.8877167,3.143,-0.732,1.339,-3.143,-0.223
17.502,0.97,-1.907,-0.667,30.2001199,-97.8877187,3.331,-0.678,1.144,-3.331,-0.2889
17.604,0.397,-0.722,-0.457,30.2001202,-97.8877192,3.405,-0.65,1.097,-3.405,-0.3353
17.701,-0.372,0.0,0.05,30.2001202,-97.887718,3.405,-0.65,1.207,-3.405,-0.3305
17.803,0.461,-0.546,-0.486,30.2001204,-97.8877187,3.46,-0.621,1.148,-3.46,-0.38
17.903,0.839,-0.77,-0.464,30.2001209,-97.8877197,3.537,-0.571,1.047,-3.537,-0.4262
18.002,0.226,-0.325,-0.176,30.2001211,-97.8877197,3.569,-0.544,1.052,-3.569,-0.4437
18.102,0.001,0.0,0.048,30.2001211,-97.8877197,3.569,-0.544,1.052,-3.569,-0.4388
18.203,0.43,-0.269,-0.361,30.2001214,-97.88772,3.596,-0.51,1.021,-3.596,-0.4756
18.302,0.778,-0.202,-0.397,30.2001218,-97.8877209,3.616,-0.468,0.935,-3.616,-0.5147
18.403,0.739,-0.199,-0.205,30.2001223,-97.8877215,3.637,-0.417,0.874,-3.637,-0.5356
18.502,0.48,-0.14,-0.445,30.2001228,-97.8877215,3.65,-0.36,0.878,-3.65,-0.5793
18.602,-0.242,0.0,-0.188,30.2001228,-97.887721,3.65,-0.36,0.922,-3.65,-0.5981
18.704,1.816,0.084,-0.401,30.2001243,-97.8877219,3.642,-0.192,0.838,-3.642,-0.6392
18.801,-0.143,0.0,0.05,30.2001243,-97.8877216,3.642,-0.192,0.861,-3.642,-0.6343
18.904,1.024,0.507,0.096,30.200125,-97.8877224,3.59,-0.115,0.788,-3.59,-0.6244
19.001,0.093,0.0,0.05,30.200125,-97.8877226,3.59,-0.115,0.773,-3.59,-0.6196
19.102,0.259,0.329,0.428,30.2001252,-97.8877226,3.556,-0.087,0.767,-3.556,-0.5763
19.202,0.483,0.518,0.682,30.2001256,-97.8877229,3.505,-0.047,0.74,-3.505,-0.5082
19.301,-0.25,0.0,0.049,30.2001256,-97.8877224,3.505,-0.047,0.79,-3.505,-0.5033
19.401,-0.402,0.0,0.048,30.2001256,-97.8877215,3.505,-0.047,0.873,-3.505,-0.4985
19.503,1.308,0.034,0.967,30.2001262,-97.8877231,3.501,0.022,0.72,-3.501,-0.3994
19.603,-0.003,0.0,0.049,30.2001262,-97.8877231,3.501,0.022,0.721,-3.501,-0.3945
19.702,1.971,0.099,1.099,30.2001267,-97.887727,3.491,0.076,0.342,-3.491,-0.2853
19.801,0.708,0.0,0.049,30.2001267,-97.8877296,3.491,0.076,0.093,-3.491,-0.2804
19.903,0.37,0.0,0.047,30.2001267,-97.8877311,3.491,0.076,-0.044,-3.491,-0.2756
20.002,0.658,0.181,0.679,30.2001269,-97.8877327,3.474,0.099,-0.203,-3.474,-0.2084
20.337,0.499,0.341,0.4,30.2001271,-97.8877401,3.36,0.12,-0.908,-3.36,-0.0744
20.337,-9.309,0.0,9.667,30.2001271,-97.8877394,3.36,0.12,-0.846,-3.36,-0.0696
20.338,-9.03,0.0,16.111,30.2001271,-97.887739,3.36,0.12,-0.807,-3.36,-0.0648
20.402,0.315,0.355,0.568,30.2001271,-97.8877427,3.337,0.117,-1.163,-3.337,-0.0284
20.501,-0.05,0.0,0.049,30.2001271,-97.8877409,3.337,0.117,-0.99,-3.337,-0.0235
20.603,0.124,0.049,0.322,30.2001271,-97.8877436,3.332,0.124,-1.254,-3.332,0.0093
20.702,0.399,-0.349,0.151,30.2001275,-97.8877487,3.366,0.168,-1.738,-3.366,0.0241
20.801,-0.137,0.0,0.049,30.2001275,-97.8877546,3.366,0.168,-2.305,-3.366,0.029
20.901,-0.05,0.0,0.048,30.2001275,-97.8877564,3.366,0.168,-2.477,-3.366,0.0338
21.002,0.357,-0.348,0.046,30.2001279,-97.8877586,3.401,0.211,-2.686,-3.401,0.0384
21.103,1.019,-0.575,-0.136,30.2001289,-97.8877622,3.459,0.327,-3.036,-3.459,0.0247
21.202,1.097,0.01,-0.237,30.20013,-97.8877646,3.458,0.441,-3.272,-3.458,0.0013
21.301,0.002,0.0,0.001,30.20013,-97.887763,3.458,0.441,-3.109,-3.458,0.0014
21.403,0.003,0.0,0.048,30.20013,-97.8877609,3.458,0.441,-2.911,-3.458,0.0062
21.502,1.272,0.926,-0.028,30.2001311,-97.8877633,3.366,0.569,-3.145,-3.366,0.0034
21.602,0.016,0.0,0.048,30.2001311,-97.8877586,3.366,0.569,-2.689,-3.366,0.0083
