t,vx,vz,yaw_rate,lat,lon,rel_alt,p_n,p_e,p_d,yaw
0.002,0.0,0.0,0.0,30.2001187,-97.8877575,1.806,-0.807,-2.59,-1.806,-1.5717
0.101,-0.956,0.0,0.049,30.2001187,-97.8877566,1.806,-0.807,-2.495,-1.806,-1.5668
0.203,-0.35,0.0,0.047,30.2001187,-97.8877562,1.806,-0.807,-2.459,-1.806,-1.562
0.303,1.459,0.23,1.199,30.2001187,-97.8877577,1.783,-0.807,-2.605,-1.783,-1.4419
0.402,0.57,0.114,0.786,30.2001188,-97.8877583,1.772,-0.803,-2.661,-1.772,-1.3644
0.501,0.64,0.04,0.59,30.2001189,-97.8877589,1.768,-0.793,-2.724,-1.768,-1.3057
0.602,-0.496,0.0,0.048,30.2001189,-97.8877584,1.768,-0.793,-2.673,-1.768,-1.3008
0.703,0.94,-0.004,0.38,30.200119,-97.8877594,1.769,-0.78,-2.768,-1.769,-1.2623
0.801,0.471,0.0,0.049,30.200119,-97.8877599,1.769,-0.78,-2.817,-1.769,-1.2575
0.903,1.639,-0.21,-0.015,30.2001192,-97.8877617,1.79,-0.761,-2.987,-1.79,-1.259
1.001,0.652,-0.281,-0.048,30.2001193,-97.8877623,1.818,-0.75,-3.051,-1.818,-1.2637
1.103,-0.271,0.0,-0.068,30.2001193,-97.887762,1.818,-0.75,-3.022,-1.818,-1.2706
1.201,-0.601,-0.371,-0.109,30.2001194,-97.8877613,1.854,-0.735,-2.955,-1.854,-1.2813
1.302,-0.569,-0.474,-0.358,30.2001195,-97.8877607,1.902,-0.72,-2.891,-1.902,-1.3172
1.403,-0.74,-1.172,-0.423,30.2001197,-97.8877598,2.021,-0.695,-2.807,-2.021,-1.3602
1.501,-0.547,-0.61,-0.219,30.2001198,-97.8877592,2.081,-0.688,-2.751,-2.081,-1.3817
1.601,0.134,0.0,0.049,30.2001198,-97.8877594,2.081,-0.688,-2.764,-2.081,-1.3769
1.703,0.523,-0.573,-0.46,30.2001198,-97.8877599,2.139,-0.688,-2.819,-2.139,-1.4238
1.801,0.447,-0.569,-0.47,30.2001198,-97.8877604,2.195,-0.692,-2.864,-2.195,-1.4699
1.903,0.517,0.0,0.048,30.2001198,-97.8877609,2.195,-0.692,-2.916,-2.195,-1.465
2.002,-0.095,-0.828,-1.586,30.2001196,-97.8877609,2.277,-0.717,-2.91,-2.277,-1.6225
2.101,0.211,-0.245,0.049,30.2001194,-97.8877611,2.302,-0.733,-2.93,-2.302,-1.6177
2.203,-0.504,-0.185,-0.234,30.2001191,-97.8877605,2.32,-0.772,-2.876,-2.32,-1.6415
2.301,-0.714,0.0,-0.069,30.2001191,-97.8877598,2.32,-0.772,-2.807,-2.32,-1.6482
2.403,-0.381,0.028,-0.182,30.2001188,-97.8877594,2.318,-0.796,-2.766,-2.318,-1.6667
2.501,-1.422,0.0,0.049,30.2001188,-97.8877579,2.318,-0.796,-2.626,-2.318,-1.6619
2.603,-1.675,0.194,0.12,30.200119,-97.8877562,2.298,-0.773,-2.456,-2.298,-1.6497
2.701,-0.315,0.0,0.049,30.200119,-97.8877558,2.298,-0.773,-2.425,-2.298,-1.6448
2.803,-1.806,0.112,0.201,30.2001193,-97.8877539,2.286,-0.745,-2.242,-2.286,-1.6244
2.902,-0.394,0.0,0.108,30.2001193,-97.8877535,2.286,-0.745,-2.204,-2.286,-1.6137
3.002,-1.132,0.278,0.332,30.2001204,-97.8877524,2.259,-0.624,-2.095,-2.259,-1.5804
3.101,-0.52,0.0,0.049,30.2001204,-97.8877519,2.259,-0.624,-2.043,-2.259,-1.5756
3.203,0.143,-0.115,0.278,30.2001207,-97.887752,2.27,-0.592,-2.058,-2.27,-1.5474
3.301,-0.403,-0.234,0.045,30.2001209,-97.8877516,2.293,-0.57,-2.018,-2.293,-1.543
3.401,-1.493,0.0,0.048,30.2001209,-97.88775,2.293,-0.57,-1.868,-2.293,-1.5382
3.503,-1.792,-0.681,-0.282,30.2001209,-97.8877481,2.362,-0.569,-1.687,-2.362,-1.5668
3.601,-1.038,-0.316,-0.036,30.2001208,-97.8877471,2.394,-0.579,-1.584,-2.394,-1.5703
3.703,-0.644,-0.261,0.002,30.2001206,-97.8877464,2.42,-0.597,-1.519,-2.42,-1.5701
